,ID,gender,age,region,fixed,allocation
0,1,male,older,rural,False,0
1,2,male,younger,urban,False,0
2,3,female,younger,rural,False,0
3,4,female,older,urban,False,0
4,5,male,younger,urban,False,0
5,6,male,older,rural,False,0
6,7,male,older,rural,False,0
7,8,female,older,rural,False,1
8,9,male,younger,urban,False,1
9,10,female,younger,urban,False,1
10,11,male,older,rural,False,1
11,12,female,older,rural,False,1
12,13,male,older,urban,False,1
13,14,female,younger,urban,False,1
14,15,female,older,urban,False,2
15,16,female,younger,urban,False,2
16,17,male,younger,urban,False,2
17,18,female,older,urban,False,2
18,19,female,older,urban,False,2
19,20,male,older,urban,False,2
20,21,male,younger,urban,False,2
21,22,male,younger,urban,False,2
22,23,female,older,urban,False,3
23,24,male,older,urban,False,3
24,25,female,younger,rural,False,3
25,26,male,younger,rural,False,3
26,27,female,older,urban,False,3
27,28,male,older,urban,False,3
28,29,female,younger,urban,False,3
29,30,male,younger,urban,False,3
