ID,a,b,c,d,e,f,g
1,a1,b1,c1,d1,e1,f1,g1
5,a2,b1,c1,d1,e3,f3,g3
6,a1,b2,c1,d1,e1,f2,g4
7,a1,b2,c2,d1,e2,f4,g4
8,a1,b1,c1,d1,e3,f3,g4
9,a2,b1,c2,d1,e1,f1,g2
10,a2,b1,c1,d1,e1,f1,g5
11,a2,b2,c1,d1,e1,f4,g4
12,a1,b1,c1,d2,e2,f3,g1
13,a1,b1,c1,d1,e2,f2,g3
14,a2,b1,c1,d1,e1,f2,g5
15,a1,b1,c2,d1,e2,f2,g1
16,a2,b1,c2,d1,e2,f1,g4
18,a2,b2,c1,d1,e2,f1,g4
19,a1,b2,c1,d1,e2,f4,g3
20,a1,b2,c1,d1,e1,f4,g5
21,a1,b2,c1,d1,e1,f1,g2
22,a1,b2,c1,d1,e2,f3,g1
23,a2,b2,c1,d1,e1,f1,g3
24,a2,b2,c2,d1,e3,f1,g1
25,a1,b1,c1,d1,e2,f4,g5
26,a2,b2,c1,d1,e1,f4,g3
27,a2,b1,c1,d1,e1,f2,g2
28,a1,b2,c1,d1,e2,f3,g1
29,a2,b1,c1,d1,e1,f2,g5
31,a2,b1,c1,d2,e2,f2,g4
32,a2,b1,c1,d1,e3,f2,g2
33,a2,b2,c2,d1,e3,f4,g2
34,a1,b2,c1,d2,e3,f2,g2
35,a1,b1,c1,d1,e1,f1,g1
36,a1,b2,c1,d2,e3,f3,g5
37,a1,b1,c1,d2,e2,f1,g5
38,a2,b1,c1,d1,e1,f1,g5
40,a1,b2,c2,d2,e2,f4,g3
41,a2,b2,c1,d1,e1,f4,g3
42,a2,b1,c2,d1,e3,f4,g5
43,a1,b1,c1,d2,e3,f4,g4
45,a1,b2,c1,d1,e2,f3,g1
46,a2,b2,c1,d1,e1,f1,g2
47,a2,b2,c1,d2,e2,f1,g4
